date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
2022-06-10 00:00:00+00:00,119.55,123.4,119.32,122.59,12951760,115.6663247256,119.3912544637,115.4437964555,118.6075679474,12951760,0.0,1.0
2022-06-13 00:00:00+00:00,115.99,117.95,115.06,116.86,16805564,112.2219741106,114.1183019773,111.3221858881,113.06371148,16805564,0.0,1.0
2022-06-14 00:00:00+00:00,114.06,117.32,113.22,115.55,13357912,110.3546716705,113.5087680201,109.5419597276,111.7962678548,13357912,0.0,1.0
2022-06-15 00:00:00+00:00,115.41,116.95,113.1683,115.62,14083548,111.6608158643,113.1507877596,109.4919392425,111.8639938501,14083548,0.0,1.0
2022-06-16 00:00:00+00:00,113.43,114.2593,111.87,113.86,16724855,109.7451377133,110.547497254,108.2358155337,110.1611688269,16724855,0.0,1.0
2022-06-17 00:00:00+00:00,113.03,114.63,112.16,113.54,30919865,109.3581320262,110.9061547745,108.5163946568,109.8515642772,30919865,0.0,1.0
2022-06-21 00:00:00+00:00,115.83,117.03,115.04,115.865,11680485,112.0671718358,113.228188897,111.3028356038,112.1010348334,11680485,0.0,1.0
2022-06-22 00:00:00+00:00,115.18,116.1999,114.39,114.88,9848572,111.4382875943,112.4250553449,110.6739513623,111.148033329,9848572,0.0,1.0
2022-06-23 00:00:00+00:00,113.92,115.18,111.48,115.01,11851541,110.21921968,111.4382875943,107.8584849888,111.2738101773,11851541,0.0,1.0
2022-06-24 00:00:00+00:00,117.32,117.82,112.83,113.23,14841090,113.5087680201,113.992525129,109.1646291827,109.5516348698,14841090,0.0,1.0
2022-06-27 00:00:00+00:00,116.38,118.5,115.6417,118.06,11280485,112.5993046555,114.650434797,111.8849889086,114.2247285412,11280485,0.0,1.0
2022-06-28 00:00:00+00:00,115.82,119.29,115.6,117.67,11615519,112.0574966936,115.414771029,111.8446435657,113.8473979963,11615519,0.0,1.0
2022-06-29 00:00:00+00:00,115.3,116.82,114.73,116.0,9338432,111.5543893004,113.0250109113,111.0029061963,112.2316492528,9338432,0.0,1.0
2022-06-30 00:00:00+00:00,112.61,114.075,110.93,113.17,15172611,108.9517760548,110.3691843837,107.3263521691,109.4935840167,15172611,0.0,1.0
2022-07-01 00:00:00+00:00,114.05,114.415,111.16,112.65,10573577,110.3449965283,110.6981392177,107.5488804391,108.9904766235,10573577,0.0,1.0
2022-07-05 00:00:00+00:00,112.62,112.71,109.3,110.77,12515590,109.9289654147,110.0168148809,106.6882962158,108.123170831,12515590,1.0,1.0
2022-07-06 00:00:00+00:00,111.89,112.99,110.785,111.73,10656197,109.216408633,110.2901243314,108.1378124087,109.0602318041,10656197,0.0,1.0
2022-07-07 00:00:00+00:00,114.72,114.9,113.4,113.5,10347385,111.9787862935,112.1544852259,110.6903274554,110.7879379734,10347385,0.0,1.0
2022-07-08 00:00:00+00:00,114.36,115.65,113.61,115.16,8807840,111.6273884285,112.8865641112,110.8953095432,112.4082725728,8807840,0.0,1.0
2022-07-11 00:00:00+00:00,112.86,114.23,112.215,113.55,7944573,110.163230658,111.5004947551,109.5336428166,110.8367432324,7944573,0.0,1.0
2022-07-12 00:00:00+00:00,112.97,115.18,112.26,112.58,11250917,110.2706022278,112.4277946764,109.5775675497,109.8899212074,11250917,0.0,1.0
2022-07-13 00:00:00+00:00,111.91,112.4769,110.38,111.75,12979883,109.2359307366,109.7892847634,107.7424898106,109.0797539077,12979883,0.0,1.0
2022-07-14 00:00:00+00:00,108.0,108.23,106.06,107.99,26204846,105.4193594813,105.6438636728,103.5257154314,105.4095984295,26204846,0.0,1.0
2022-07-15 00:00:00+00:00,112.95,113.88,107.67,109.16,18863886,110.2510801242,111.1588579419,105.0972447718,106.5516414905,18863886,0.0,1.0
2022-07-18 00:00:00+00:00,111.79,115.8401,111.29,114.77,13977903,109.1187981149,113.072121706,108.6307455248,112.0275915525,13977903,0.0,1.0
2022-07-19 00:00:00+00:00,114.56,114.935,112.67,113.13,11862269,111.8226094646,112.1886489072,109.9777706737,110.4267790567,11862269,0.0,1.0
2022-07-20 00:00:00+00:00,114.54,114.7389,113.48,114.1,11667540,111.803087361,111.9972346814,110.7684158698,111.3736010816,11667540,0.0,1.0
2022-07-21 00:00:00+00:00,115.32,115.53,113.37,114.44,11595860,112.5644494017,112.7694314896,110.6610443,111.705476843,11595860,0.0,1.0
2022-07-22 00:00:00+00:00,114.76,116.25,113.67,115.24,7645542,112.0178305007,113.4722272195,110.9538758541,112.4863609873,7645542,0.0,1.0
2022-07-25 00:00:00+00:00,115.22,116.46,114.77,115.84,9394033,112.4668388837,113.6772093073,112.0275915525,113.0720240955,9394033,0.0,1.0
2022-07-26 00:00:00+00:00,113.42,115.58,113.03,114.58,10675119,110.709849559,112.8182367486,110.3291685386,111.8421315682,10675119,0.0,1.0
2022-07-27 00:00:00+00:00,115.24,115.74,113.3,114.01,9274454,112.4863609873,112.9744135775,110.5927169373,111.2857516154,9274454,0.0,1.0
2022-07-28 00:00:00+00:00,114.81,115.98,113.53,115.25,10384770,112.0666357597,113.2086788207,110.8172211288,112.4961220391,10384770,0.0,1.0
2022-07-29 00:00:00+00:00,115.36,116.5,114.785,115.59,12944544,112.6034936089,113.7162535145,112.0422331302,112.8279978004,12944544,0.0,1.0
2022-08-01 00:00:00+00:00,114.21,115.105,113.07,114.5,14740406,111.4809726515,112.3545867879,110.3682127458,111.7640431538,14740406,0.0,1.0
2022-08-02 00:00:00+00:00,112.43,114.395,112.27,113.92,14942854,109.7435054304,111.6615521098,109.5873286015,111.1979021492,14942854,0.0,1.0
2022-08-03 00:00:00+00:00,113.61,114.0976,111.71,113.45,14394499,110.8953095432,111.3712584292,109.0407097005,110.7391327144,14394499,0.0,1.0
2022-08-04 00:00:00+00:00,112.36,113.32,111.0214,112.85,18033854,109.6751780678,110.6122390409,108.3685636733,110.1534696062,18033854,0.0,1.0
2022-08-05 00:00:00+00:00,115.76,116.1899,112.05,112.53,14174642,112.9939356811,113.4135632981,109.3725854618,109.8411159484,14174642,0.0,1.0
2022-08-08 00:00:00+00:00,114.35,116.7,114.18,116.25,10339584,111.6176273767,113.9114745506,111.4516894961,113.4722272195,10339584,0.0,1.0
2022-08-09 00:00:00+00:00,115.38,115.99,114.37,114.75,10233754,112.6230157125,113.2184398726,111.6371494803,112.0080694489,10233754,0.0,1.0
